CustomerID,InvoiceDate,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_score,RFM_total,Segment,Cluster,Cluster_Label
12346,2011-01-18 10:01:00,326,1,77183.6,1,1,5,115,7,Lost,3,High Value
12347,2011-12-07 15:52:00,2,7,4310.0,5,5,5,555,15,Champions,0,Loyal Customers
12348,2011-09-25 13:13:00,75,4,1797.24,2,4,4,244,10,At Risk,0,Loyal Customers
12349,2011-11-21 09:51:00,19,1,1757.55,4,1,4,414,9,Promising,0,Loyal Customers
12350,2011-02-02 16:01:00,310,1,334.40000000000003,1,1,2,112,4,Lost,1,Lost
12352,2011-11-03 14:37:00,36,8,2506.04,3,5,5,355,13,Loyal Customers,0,Loyal Customers
12353,2011-05-19 17:47:00,204,1,89.0,1,1,1,111,3,Lost,1,Lost
12354,2011-04-21 13:11:00,232,1,1079.4,1,1,4,114,6,Lost,1,Lost
12355,2011-05-09 13:49:00,214,1,459.4,1,1,2,112,4,Lost,1,Lost
12356,2011-11-17 08:40:00,23,3,2811.43,4,3,5,435,12,Loyal Customers,0,Loyal Customers
12357,2011-11-06 16:07:00,33,1,6207.67,4,1,5,415,10,Promising,0,Loyal Customers
12358,2011-12-08 10:26:00,2,2,1168.06,5,2,4,524,11,Promising,0,Loyal Customers
12359,2011-10-13 12:47:00,58,4,6372.58,3,4,5,345,12,Loyal Customers,0,Loyal Customers
12360,2011-10-18 15:22:00,52,3,2662.06,3,3,5,335,11,Loyal Customers,0,Loyal Customers
12361,2011-02-25 13:51:00,287,1,189.9,1,1,1,111,3,Lost,1,Lost
12362,2011-12-06 15:40:00,3,10,5226.2300000000005,5,5,5,555,15,Champions,0,Loyal Customers
12363,2011-08-22 10:18:00,110,2,552.0,2,2,3,223,7,Lost,0,Loyal Customers
12364,2011-12-02 10:22:00,8,4,1313.1,5,4,4,544,13,Champions,0,Loyal Customers
12365,2011-02-21 14:04:00,291,2,641.38,1,2,3,123,6,Lost,1,Lost
12367,2011-12-05 16:48:00,4,1,168.9,5,1,1,511,7,Promising,0,Loyal Customers
12370,2011-10-19 14:51:00,51,4,3545.69,3,4,5,345,12,Loyal Customers,0,Loyal Customers
12371,2011-10-26 10:16:00,45,2,1887.96,3,2,4,324,9,Needs Attention,0,Loyal Customers
12372,2011-09-29 12:12:00,72,3,1298.04,3,3,4,334,10,Loyal Customers,0,Loyal Customers
12373,2011-02-01 13:10:00,311,1,364.6,1,1,2,112,4,Lost,1,Lost
12374,2011-11-14 15:37:00,25,1,742.9300000000001,4,1,3,413,8,Promising,0,Loyal Customers
12375,2011-11-29 10:36:00,11,2,457.5,5,2,2,522,9,Promising,0,Loyal Customers
12377,2011-01-28 15:45:00,315,2,1628.12,1,2,4,124,7,Lost,1,Lost
12378,2011-08-02 10:34:00,130,1,4008.62,2,1,5,215,8,Lost,0,Loyal Customers
12379,2011-09-19 10:09:00,82,2,852.24,2,2,3,223,7,Lost,0,Loyal Customers
12380,2011-11-18 11:27:00,22,4,2724.81,4,4,5,445,13,Champions,0,Loyal Customers
12381,2011-12-05 12:44:00,5,5,1845.31,5,4,4,544,13,Champions,0,Loyal Customers
12383,2011-06-08 08:02:00,185,5,1850.56,1,4,4,144,9,At Risk,1,Lost
12384,2011-11-11 08:39:00,29,2,585.27,4,2,3,423,9,Promising,0,Loyal Customers
12386,2011-01-06 12:37:00,338,2,401.9,1,2,2,122,5,Lost,1,Lost
12388,2011-11-24 12:30:00,16,6,2780.6600000000003,4,4,5,445,13,Champions,0,Loyal Customers
12390,2011-09-21 09:33:00,80,1,549.84,2,1,3,213,6,Lost,0,Loyal Customers
12391,2011-11-18 12:07:00,22,1,460.89,4,1,2,412,7,Promising,0,Loyal Customers
12393,2011-09-28 15:41:00,72,4,1582.6,3,4,4,344,11,Loyal Customers,0,Loyal Customers
